epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,21804,1.04651,0.60727,1.13636,0.81319,0.82679,0.86403,0.47848,1.42309,0.68677,1.51489,0.000484063,0.000484063,0.000484063
59,22180.5,1.04315,0.6017,1.13028,0.79598,0.78652,0.83639,0.46333,1.4187,0.71098,1.49292,0.000473064,0.000473064,0.000473064
60,22553.3,1.03559,0.60216,1.13099,0.79398,0.79456,0.82571,0.45298,1.44233,0.69824,1.50842,0.000462065,0.000462065,0.000462065
61,22931.3,1.04499,0.5948,1.1233,0.86109,0.79826,0.85163,0.48603,1.40997,0.67893,1.48299,0.000451066,0.000451066,0.000451066
62,23307.8,1.03454,0.59865,1.13292,0.80686,0.82967,0.8495,0.47406,1.42318,0.6841,1.51977,0.000440067,0.000440067,0.000440067
63,23683.2,1.02994,0.58417,1.12387,0.8646,0.75957,0.85527,0.47788,1.40376,0.66991,1.4917,0.000429068,0.000429068,0.000429068
64,24059.5,1.03398,0.58298,1.12396,0.87845,0.79735,0.85155,0.47961,1.39604,0.6741,1.47593,0.000418069,0.000418069,0.000418069
65,24436.1,1.02301,0.57673,1.11799,0.8961,0.76611,0.8552,0.46928,1.43755,0.72556,1.52326,0.00040707,0.00040707,0.00040707
66,24811.7,1.02535,0.58148,1.12322,0.8829,0.76846,0.85319,0.46241,1.45556,0.69583,1.52754,0.000396071,0.000396071,0.000396071
67,25187.8,1.00469,0.57079,1.1186,0.8482,0.82133,0.88035,0.47801,1.41056,0.6708,1.51156,0.000385073,0.000385073,0.000385073
68,25570.6,1.00352,0.57024,1.11371,0.90705,0.78028,0.87627,0.48124,1.41205,0.67839,1.4914,0.000374074,0.000374074,0.000374074
69,25949.8,1.00571,0.5686,1.11409,0.86848,0.78318,0.86076,0.47721,1.41535,0.6875,1.51271,0.000363075,0.000363075,0.000363075
70,26328.1,0.99527,0.56105,1.10866,0.86038,0.82895,0.86949,0.48155,1.42936,0.69954,1.51859,0.000352076,0.000352076,0.000352076
71,26708.8,0.99033,0.55816,1.10279,0.82397,0.83742,0.86209,0.48251,1.41696,0.67468,1.52211,0.000341077,0.000341077,0.000341077
